"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"15"	"GO:0000463"	"maturation of LSU-rRNA from tricistronic..."	18	5	0.52	"0.00011"
"16"	"GO:0000479"	"endonucleolytic cleavage of tricistronic..."	33	6	0.95	"0.00029"
"17"	"GO:0000470"	"maturation of LSU-rRNA"	22	5	0.63	"0.00032"
"18"	"GO:0000478"	"endonucleolytic cleavage involved in rRN..."	34	6	0.97	"0.00035"
"19"	"GO:0001505"	"regulation of neurotransmitter levels"	13	4	0.37	"0.00038"
"20"	"GO:0042133"	"neurotransmitter metabolic process"	13	4	0.37	"0.00038"
"21"	"GO:0005978"	"glycogen biosynthetic process"	6	3	0.17	"0.00043"
"22"	"GO:0000460"	"maturation of 5.8S rRNA"	36	6	1.03	"0.00048"
"23"	"GO:0000466"	"maturation of 5.8S rRNA from tricistroni..."	36	6	1.03	"0.00048"
"24"	"GO:0006396"	"RNA processing"	369	22	10.57	"0.00076"
"25"	"GO:0009250"	"glucan biosynthetic process"	17	4	0.49	"0.00115"
"26"	"GO:0042135"	"neurotransmitter catabolic process"	8	3	0.23	"0.00116"
"27"	"GO:0005977"	"glycogen metabolic process"	9	3	0.26	"0.00171"
"28"	"GO:0006112"	"energy reserve metabolic process"	9	3	0.26	"0.00171"
"29"	"GO:0006536"	"glutamate metabolic process"	9	3	0.26	"0.00171"
"30"	"GO:1902626"	"assembly of large subunit precursor of p..."	9	3	0.26	"0.00171"
"31"	"GO:0000469"	"cleavage involved in rRNA processing"	46	6	1.32	"0.00183"
"32"	"GO:0000472"	"endonucleolytic cleavage to generate mat..."	10	3	0.29	"0.00239"
"33"	"GO:0000480"	"endonucleolytic cleavage in 5'-ETS of tr..."	10	3	0.29	"0.00239"
"34"	"GO:0000967"	"rRNA 5'-end processing"	10	3	0.29	"0.00239"
"35"	"GO:0033692"	"cellular polysaccharide biosynthetic pro..."	22	4	0.63	"0.00317"
"36"	"GO:0000271"	"polysaccharide biosynthetic process"	23	4	0.66	"0.00375"
